=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
   11 | privatsphäre-einstellungen individuell festlegen
   11 | werbefrei für 3,99 € monat
   11 | liste unserer partner
   11 | datenaustausch
   11 | dp wired
   11 | saznajte više
   11 | close cookie bar
   11 | cookie-einstellungen anpassen
   11 | paramétrer
   11 | funktionale
   11 | alle auswählen bestätigen
   11 | zustimmen weiter
   11 | vis detaljer
   11 | informationen zum datenschutz
   11 | funktion
   11 | auswahl zulassen
   11 | cookies verbieten
   11 | alles zulassen
   11 | reddet
   11 | individual cookie settings
   11 | personalisierte werbung
   11 | google maps: akzeptieren
   10 | speichern.
   10 | cookiebeleid
   10 | accept continue
   10 | kundenservice
   10 | souhlasím
   10 | unbedingt erforderlich
   10 | akceptuję
   10 | согласен
   10 | details anzeigenausblenden
   10 | podcast-hosting-dienst podigee
   10 | video cookies
   10 | webstatistik (matomo) cookies
   10 | hier.
   10 | auswahl übernehmen
   10 | ok, i agree
   10 | datenschutzerklär1ung
   10 | nur funktionsfähig
   10 | allow
   10 | ok, einverstanden
   10 | view our partners
   10 | om
   10 | samtykke
   10 | powered by
   10 | ohne einwilligung fortfahren
   10 | learn more and customize
   10 | aceptar
   10 | allgemeine geschäftsbedingungen
   10 | hinweis schließen
   10 | indstillinger
   10 | cookie
   10 | erforderlich
   10 | externe inhalte und erweiterte interaktion
   10 | abonnieren und weiter
   10 | política de privacidad
   10 | zgadzam się
   10 | więcej opcji
   10 | nur funktionale
   10 | datenschutz-erklärung
   10 | hinweis ausblenden
   10 | akzeptieren und schließen
   10 | ablehnen und einstellungen
   10 | ablehnen und bezahlen
   10 | messung
   10 | berechtigtem interesse
   10 | geht klar
   10 | ustawienia zaawansowane
   10 | poszczególnych serwisów
   10 | more
   10 | powered by sgalinski cookie consent
   10 | personalisierte anzeigen und inhalte, anzeigen- und inhaltsmessungen, erkenntnisse über zielgruppen und produktentwicklungen
   10 | actively scan device characteristics for identification
    9 | nicht essentielle cookies ablehnen
    9 | akceptuj wszystko
    9 | view partners
    9 | geht klar!
    9 | meine einstellungen
    9 | nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter
    9 | consenthub
    9 | unterstützte internetverbindung
    9 | datenschutzmanager aufrufen
    9 | widerrufen
    9 | individuelle einstellung
    9 | alle dienste ablehnen
    9 | essenzielle cookies akzeptieren
    9 | 17 partner
    9 | powered by borlabs cookie - tcf-cmp id: 323
    9 | nur notwendige zulassen
    9 | cookie information
    9 | tillad valgte
    9 | jaccepte
    9 | accept close
    9 | save preferences
    9 | angebotsübergreifende verarbeitung von daten durch bertelsmann-unternehmen für analyse, produktentwicklung, messung, werbung und risikomanagement
    9 | ich will mehr wissen.
    9 | nur notwendig
    9 | datenschutzbestimmung
    9 | accedi
    9 | yes, i agree
    9 | prihvati i zatvori
    9 | opt out
    9 | ja, ich bin einverstanden
    9 | datenschutz cookies
    9 | terms conditions
    9 | weitere informationen finden sie in unserem datenschutzhinweis.
    9 | erfahre mehr...
    9 | alles erlauben
    9 | politique de cookies
    9 | ohne einwilligung weiter
    9 | verberge nur die benachrichtigung
    9 | unsere partner
    9 | jetzt testen
    9 | technische cookies akzeptieren
    9 | einverstanden und weiterlesen
    9 | einstellungen speichern schließen
    9 | mehr zum datenschutz
    9 | zaufanych partnerów iab
    9 | cookiepolitik
    9 | komfortfunktionen
    9 | informationen anzeigen
    9 | individuelle cookie einstellungen
    9 | unsere datenschutzerklärung
    9 | konfiguration
    9 | yes
    9 | accetta e chiudi
    9 | mehr erfahren.
    9 | se connecter
    9 | essentiell
    8 | politische werbung
    8 | data privacy
    8 | dostosuj
    8 | podrobné nastavení
    8 | targeting
